,_url,birth_year,height,avg_pos,num_races
536,karl-patrick-lauk,1997,173.0,50.85054347826087,368
537,alessandro-covi,1998,180.0,66.92857142857143,14
539,nino-schurter,1986,173.0,61.32867132867133,143
541,jens-debusschere,1989,184.0,116.95,100
542,wilco-kelderman,1991,185.0,106.4103448275862,290
543,jurgen-van-goolen,1980,183.0,87.94117647058823,85
544,rene-joergensen,1975,179.0,65.83673469387755,49
548,michele-scarponi,1979,174.0,54.36293436293436,518
549,tristan-hoffman,1970,186.0,84.06840390879479,307
550,davide-vigano,1984,182.0,107.11904761904762,42
551,frederic-mainguenaud,1974,175.0,89.81046931407943,554
552,lukasz-owsian,1990,180.0,83.4505928853755,253
554,igor-gonzalez-de-galdeano,1973,185.0,47.0184331797235,217
555,emmanuel-magnien,1971,175.0,46.5875,80
558,gijs-leemreize,1999,190.0,50.56488549618321,262
560,brian-holm-sorensen,1962,186.0,92.72222222222224,162
562,erwin-thijs,1970,177.0,47.5864406779661,295
563,martijn-maaskant,1983,185.0,57.40254237288136,236
564,tom-bohli,1994,185.0,64.87390029325513,341
567,august-jensen,1991,176.0,37.42857142857143,7
571,stephan-schreck,1978,185.0,91.88489208633094,278
572,jacob-eriksson,1999,182.0,83.5909090909091,22
573,lilian-calmejane,1992,184.0,39.60504201680672,119
575,thijs-al,1980,180.0,41.4054054054054,37
578,sjoerd-bax,1996,185.0,45.190298507462686,268
579,thomas-lofkvist,1984,186.0,44.64009111617312,439
580,pablo-lechuga-rodriguez,1990,176.0,36.95488721804512,266
581,danilo-di-luca,1976,168.0,54.809322033898304,236
582,romans-vainsteins,1973,177.0,51.48022598870057,354
584,jerome-coppel,1986,178.0,71.85365853658537,246
585,ruggero-marzoli,1976,173.0,46.271186440677965,59
586,antwan-tolhoek,1994,178.0,78.48027444253859,583
587,borut-bozic,1980,178.0,89.02898550724638,138
588,pawel-cieslik,1986,176.0,71.94818652849742,386
591,gabriel-rasch,1976,184.0,68.71612903225807,155
594,kevin-hulsmans,1978,187.0,74.97053726169844,577
596,jan-barta,1984,184.0,75.92156862745098,204
598,pelayo-sanchez-mayo,2000,177.0,69.98540145985402,137
599,massimo-graziato,1988,181.0,79.0,137
600,maxime-monfort,1983,181.0,65.7156862745098,102
601,rune-herregodts,1998,181.0,70.57281553398059,515
602,jakob-fuglsang,1985,181.0,52.49240121580547,329
603,mason-hollyman,2000,174.0,63.0,105
604,perrig-quemeneur,1984,181.0,54.82692307692308,468
605,ruben-plaza,1980,191.0,45.33561643835616,292
606,michal-golas,1984,180.0,26.06410256410257,156
607,isidro-nozal-vega,1977,181.0,57.478193146417446,642
608,jose-mendes,1985,181.0,35.18543046357616,302
609,david-vitoria,1984,188.0,66.95,80
610,steffen-wesemann,1971,173.0,83.60648148148148,216
611,dmitro-krivtsov,1985,183.0,96.84615384615384,91
612,matej-mugerli,1981,182.0,81.27586206896552,232
613,damiano-cima,1993,180.0,72.43478260869566,92
614,thierry-loder,1975,178.0,106.87272727272727,110
