_url,name,birth_year,height,nationality,avg_pos,num_races,BMI,continent
jakub-kaczmarek,Jakub  Kaczmarek,1993,181.0,Poland,78.36666666666666,570,20.1459051921492,Europe
filippo-zana,Filippo  Zana,1999,185.0,Italy,53.165739710789765,899,18.991964937910883,Europe
matteo-bono,Matteo  Bono,1983,171.0,Italy,93.12760416666667,384,20.519134092541297,Europe
igor-anton,Igor  Antón,1983,173.0,Spain,74.18139534883721,215,21.383941996057334,Europe
raymond-kreder,Raymond  Kreder,1989,177.0,Netherlands,71.55592105263158,304,22.34351559258195,Europe
pierre-gautherat,Pierre  Gautherat,2003,177.0,France,74.6025,400,22.34351559258195,Europe
anthony-roux,Anthony  Roux,1987,188.0,France,76.21611721611721,273,20.654142145767317,Europe
sebastian-schonberger,Sebastian  Schönberger,1994,181.0,Austria,64.7704081632653,196,19.53542321662953,Europe
pierrick-fedrigo,Pierrick  Fédrigo,1978,172.0,France,67.29152542372881,295,22.30935640886966,Europe
giampaolo-cheula,Giampaolo  Cheula,1979,178.0,Italy,92.90151515151516,264,19.568236333796236,Europe
angel-madrazo,Ángel  Madrazo,1988,171.0,Spain,85.1082474226804,194,20.86111966075032,Europe
antonio-tiberi,Antonio  Tiberi,2001,182.0,Italy,91.41776937618147,529,18.717546190073662,Europe
gorazd-stangelj,Gorazd  Štangelj,1973,182.0,Slovenia,79.68947368421053,570,21.132713440405748,Europe
arvis-piziks,Arvis  Piziks,1969,176.0,Latvia,86.60022650056625,883,22.59814049586777,Europe
markus-eichler,Markus  Eichler,1982,185.0,Germany,66.15849056603774,530,22.79035792549306,Europe
torsten-hiekmann,Torsten  Hiekmann,1980,183.0,Germany,80.81171548117155,239,20.902385858042937,Europe
jelle-vanendert,Jelle  Vanendert,1985,184.0,Belgium,92.41980198019802,505,18.312854442344044,Europe
sven-vandousselaere,Sven  Vandousselaere,1988,181.0,Belgium,83.89242053789731,409,21.672110130948383,Europe
maurizio-fondriest,Maurizio  Fondriest,1965,182.0,Italy,115.9627659574468,188,21.132713440405748,Europe
fabio-sacchi,Fabio  Sacchi,1974,183.0,Italy,77.8218954248366,612,20.305174833527424,Europe
pascal-eenkhoorn,Pascal  Eenkhoorn,1997,185.0,Netherlands,94.12926391382406,557,20.45288531775018,Europe
stefan-schumacher,Stefan  Schumacher,1981,183.0,Germany,77.88739946380697,373,21.20099137030069,Europe
daniele-pietropolli,Daniele  Pietropolli,1980,174.0,Italy,84.60992907801419,282,20.147971991015986,Europe
arnaud-gerard,Arnaud  Gérard,1984,184.0,France,95.56976744186046,172,20.6758034026465,Europe
gonzalo-rabunal-rios,Gonzalo  Rabuñal,1984,180.0,Spain,93.57839721254355,287,20.061728395061728,Europe
thomas-bonnet,Thomas  Bonnet,1998,175.0,France,82.72911392405064,395,21.355102040816327,Europe
isaac-canton,Isaac  Cantón,1996,180.0,Spain,91.40134529147981,446,20.061728395061728,Europe
alain-vasseur,Alain  Vasseur,1948,175.0,France,103.11688311688312,308,21.877551020408163,Europe
jean-pierre-monsere,Jean-Pierre  Monseré,1948,178.0,Belgium,95.04676258992805,278,20.830703194041156,Europe
steven-caethoven,Steven  Caethoven,1981,176.0,Belgium,86.74893617021277,235,21.62964876033058,Europe
jose-maria-jimenez,José María  Jiménez,1971,187.0,Spain,110.84210526315789,76,20.0177299894192,Europe
mattia-cattaneo,Mattia  Cattaneo,1990,184.0,Italy,80.76294277929155,367,19.78969754253308,Europe
james-knox,James  Knox,1995,173.0,Great Britain,80.16616314199396,331,19.37919743392696,Europe
david-gaudu,David  Gaudu,1996,172.0,France,99.40625,64,17.915089237425637,Europe
bjarne-riis,Bjarne  Riis,1964,184.0,Denmark,64.31566820276498,434,20.97117202268431,Europe
jose-alberto-benitez-roman,José Alberto  Benítez,1981,180.0,Spain,88.3019801980198,202,20.37037037037037,Europe
roberto-sgambelluri,Roberto  Sgambelluri,1974,175.0,Italy,54.36293436293436,518,20.571428571428573,Europe
michal-hrazdira,Michal  Hrazdira,1977,189.0,Czech Republic,114.18904109589042,365,21.55594748187341,Europe
thomas-champion,Thomas  Champion,1999,193.0,France,114.80281690140845,213,18.792450804048432,Europe
enrico-franzoi,Enrico  Franzoi,1982,178.0,Italy,60.79365079365079,315,22.093170054286073,Europe
manuel-cardoso,Manuel Antonio Leal  Cardoso,1983,179.0,Portugal,118.58928571428571,56,21.847008520333322,Europe
mickael-delage,Mickaël  Delage,1985,180.0,France,81.07986688851913,601,21.604938271604937,Europe
bruno-cenghialta,Bruno  Cenghialta,1962,184.0,Italy,100.24050632911393,79,21.561909262759922,Europe
johan-bruyneel,Johan  Bruyneel,1964,182.0,Belgium,75.61507936507937,252,21.434609346697258,Europe
dorian-godon,Dorian  Godon,1996,191.0,France,101.48387096774194,186,20.010416381129904,Europe
syver-waersted,Syver  Wærsted,1996,193.0,Norway,127.1063829787234,47,21.369701200032214,Europe
julien-stassen,Julien  Stassen,1988,182.0,Belgium,89.61813186813187,364,19.925129815239703,Europe
markus-hoelgaard,Markus  Hoelgaard,1994,188.0,Norway,83.22485207100591,169,20.937075599818925,Europe
louis-pfenninger,Louis  Pfenninger,1944,183.0,Switzerland,107.448,125,20.902385858042937,Europe
mirko-selvaggi,Mirko  Selvaggi,1985,195.0,Italy,89.97619047619048,168,19.197896120973045,Europe
zico-waeytens,Zico  Waeytens,1991,180.0,Belgium,87.56395348837209,172,20.679012345679013,Europe
twan-castelijns,Twan  Castelijns,1989,180.0,Netherlands,95.42857142857143,196,21.604938271604937,Europe
mattia-gavazzi,Mattia  Gavazzi,1983,171.0,Italy,74.31088082901555,386,23.938989774631512,Europe
david-kopp,David  Kopp,1979,184.0,Germany,55.84592145015106,331,20.085066162570886,Europe
giairo-ermeti,Giairo  Ermeti,1981,174.0,Italy,54.760757314974185,581,19.817677368212443,Europe
harry-steevens,Harry  Steevens,1945,178.0,Netherlands,65.32444444444444,225,23.04002019946976,Europe
paul-van-hyfte,Paul Van Hyfte,1972,177.0,Belgium,69.61919504643963,323,22.34351559258195,Europe
tom-jelte-slagter,Tom-Jelte  Slagter,1989,169.0,Netherlands,24.28980891719745,942,19.95728440880922,Europe
frederik-rodenberg,Frederik  Rodenberg,1998,190.0,Denmark,87.51851851851852,378,20.221606648199447,Europe
michael-van-staeyen,Michael Van Staeyen,1988,167.0,Belgium,86.74893617021277,235,22.230987127541326,Europe
inaki-isasi-flores,Iñaki  Isasi,1977,181.0,Spain,67.74396135265701,207,21.36686914318855,Europe
lennert-van-eetvelt,Lennert Van Eetvelt,2001,176.0,Belgium,53.45783132530121,332,20.33832644628099,Europe
lars-boven,Lars  Boven,2001,172.0,Netherlands,89.50200803212851,249,20.9572742022715,Europe
christophe-laborie,Christophe  Laborie,1986,181.0,France,54.08453608247423,485,20.45114617990904,Europe
tobias-foss,Tobias  Foss,1997,184.0,Norway,79.68947368421053,570,21.85727788279773,Europe
tomas-konecny,Tomáš  Konečný,1973,178.0,Czech Republic,58.66101694915254,177,21.146319909102385,Europe
nicolas-vogondy,Nicolas  Vogondy,1977,172.0,France,81.09693053311793,619,20.9572742022715,Europe
ben-zwiehoff,Ben  Zwiehoff,1994,182.0,Germany,42.07538802660754,451,18.41565028378215,Europe
thomas-pidcock,Thomas  Pidcock,1999,170.0,Great Britain,86.07792207792208,308,20.06920415224914,Europe
gerhard-trampusch,Gerhard  Trampusch,1978,173.0,Austria,107.79285714285714,140,20.04744562130375,Europe
alessandro-proni,Alessandro  Proni,1982,183.0,Italy,49.48022598870057,531,20.305174833527424,Europe
javier-aramendia,Javier  Aramendia,1986,187.0,Spain,86.60022650056625,883,20.58966513197403,Europe
maryan-hary,Maryan  Hary,1980,185.0,France,77.6890243902439,328,19.86851716581446,Europe
alessandro-spezialetti,Alessandro  Spezialetti,1975,179.0,Italy,68.52959501557632,642,20.91070815517618,Europe
ludovic-robeet,Ludovic  Robeet,1994,194.0,Belgium,42.60294117647059,680,19.927728770326283,Europe
timofey-kritskiy,Timofey  Kritskiy,1987,190.0,Russia,55.19191919191919,594,22.437673130193907,Europe
antoine-demoitie,Antoine  Demoitié,1990,180.0,Belgium,97.79591836734694,196,21.296296296296294,Europe
