_url,stage,race,date,points,length,profile,startlist_quality,year,season,avg_delta_by_url,avg_age_by_url
dauphine/1998/stage-1,stage-1,dauphine,1998-06-08,50,190000,,721,1998,Summer,1508.7878787878788,28.703030303030303
dauphine/2000/prologue,prologue,dauphine,2000-06-04,50,3600,,494,2000,Summer,1508.7878787878788,28.703030303030303
dauphine/2000/stage-1,stage-1,dauphine,2000-06-05,50,189000,,494,2000,Summer,1508.7878787878788,28.703030303030303
dauphine/2000/stage-2,stage-2,dauphine,2000-06-06,50,210000,,494,2000,Summer,1508.7878787878788,28.703030303030303
dauphine/2000/stage-3,stage-3,dauphine,2000-06-07,50,35700,,494,2000,Summer,1508.7878787878788,28.703030303030303
dauphine/2000/stage-4,stage-4,dauphine,2000-06-08,50,159000,,494,2000,Summer,1508.7878787878788,28.703030303030303
dauphine/2000/stage-5,stage-5,dauphine,2000-06-09,50,201000,,494,2000,Summer,1508.7878787878788,28.703030303030303
dauphine/2000/stage-6,stage-6,dauphine,2000-06-10,50,218000,,494,2000,Summer,1508.7878787878788,28.703030303030303
dauphine/2000/stage-7,stage-7,dauphine,2000-06-11,50,147000,,494,2000,Summer,1508.7878787878788,28.703030303030303
dauphine/2001/prologue,prologue,dauphine,2001-06-10,50,4000,,442,2001,Summer,1508.7878787878788,28.703030303030303
dauphine/2001/stage-1,stage-1,dauphine,2001-06-11,50,227000,,442,2001,Summer,1508.7878787878788,28.703030303030303
dauphine/2001/stage-2,stage-2,dauphine,2001-06-12,50,170000,,442,2001,Summer,1508.7878787878788,28.703030303030303
dauphine/2001/stage-3,stage-3,dauphine,2001-06-13,50,184000,,442,2001,Summer,1508.7878787878788,28.703030303030303
dauphine/2001/stage-4,stage-4,dauphine,2001-06-14,50,43000,,442,2001,Summer,1508.7878787878788,28.703030303030303
dauphine/2001/stage-5,stage-5,dauphine,2001-06-15,50,151000,,442,2001,Summer,1508.7878787878788,28.703030303030303
dauphine/2001/stage-6,stage-6,dauphine,2001-06-16,50,193000,,442,2001,Summer,1508.7878787878788,28.703030303030303
dauphine/2001/stage-7,stage-7,dauphine,2001-06-17,50,125000,,442,2001,Summer,1508.7878787878788,28.703030303030303
dauphine/2002/prologue,prologue,dauphine,2002-06-09,50,3600,,602,2002,Summer,1508.7878787878788,28.703030303030303
dauphine/2002/stage-1,stage-1,dauphine,2002-06-10,50,173000,,602,2002,Summer,1508.7878787878788,28.703030303030303
dauphine/2002/stage-2,stage-2,dauphine,2002-06-11,50,174000,,602,2002,Summer,1508.7878787878788,28.703030303030303
dauphine/2002/stage-3,stage-3,dauphine,2002-06-12,50,41000,,602,2002,Summer,1508.7878787878788,28.703030303030303
dauphine/2002/stage-4,stage-4,dauphine,2002-06-13,50,209000,,602,2002,Summer,1508.7878787878788,28.703030303030303
dauphine/2002/stage-5,stage-5,dauphine,2002-06-14,50,204000,,602,2002,Summer,1508.7878787878788,28.703030303030303
dauphine/2002/stage-6,stage-6,dauphine,2002-06-15,50,146000,,602,2002,Summer,1508.7878787878788,28.703030303030303
dauphine/2002/stage-7,stage-7,dauphine,2002-06-16,50,150000,,602,2002,Summer,1508.7878787878788,28.703030303030303
dauphine/2003/prologue,prologue,dauphine,2003-06-08,50,5100,,572,2003,Summer,1508.7878787878788,28.703030303030303
dauphine/2003/stage-1,stage-1,dauphine,2003-06-09,50,198000,,572,2003,Summer,1508.7878787878788,28.703030303030303
dauphine/2003/stage-2,stage-2,dauphine,2003-06-10,50,195000,,572,2003,Summer,1508.7878787878788,28.703030303030303
dauphine/2003/stage-3,stage-3,dauphine,2003-06-11,50,33400,,572,2003,Summer,1508.7878787878788,28.703030303030303
dauphine/2003/stage-4,stage-4,dauphine,2003-06-12,50,237000,,572,2003,Summer,1508.7878787878788,28.703030303030303
dauphine/2003/stage-5,stage-5,dauphine,2003-06-13,50,192000,,572,2003,Summer,1508.7878787878788,28.703030303030303
dauphine/2003/stage-6,stage-6,dauphine,2003-06-14,50,153000,,572,2003,Summer,1508.7878787878788,28.703030303030303
dauphine/2003/stage-7,stage-7,dauphine,2003-06-15,50,174000,,572,2003,Summer,1508.7878787878788,28.703030303030303
dauphine/2004/prologue,prologue,dauphine,2004-06-06,50,5400,,737,2004,Summer,1508.7878787878788,28.703030303030303
dauphine/2004/stage-1,stage-1,dauphine,2004-06-07,50,231000,,737,2004,Summer,1508.7878787878788,28.703030303030303
dauphine/2004/stage-2,stage-2,dauphine,2004-06-08,50,181000,,737,2004,Summer,1508.7878787878788,28.703030303030303
dauphine/2004/stage-3,stage-3,dauphine,2004-06-09,50,180000,,737,2004,Summer,1508.7878787878788,28.703030303030303
dauphine/2004/stage-4,stage-4,dauphine,2004-06-10,50,21600,,737,2004,Summer,1508.7878787878788,28.703030303030303
dauphine/2004/stage-5,stage-5,dauphine,2004-06-11,50,149000,,737,2004,Summer,1508.7878787878788,28.703030303030303
dauphine/2004/stage-6,stage-6,dauphine,2004-06-12,50,144000,,737,2004,Summer,1508.7878787878788,28.703030303030303
dauphine/2004/stage-7,stage-7,dauphine,2004-06-13,50,200000,,737,2004,Summer,1508.7878787878788,28.703030303030303
dauphine/2005/prologue,prologue,dauphine,2005-06-05,30,7900,,933,2005,Summer,1508.7878787878788,28.703030303030303
dauphine/2005/stage-1,stage-1,dauphine,2005-06-06,50,224000,,933,2005,Summer,1508.7878787878788,28.703030303030303
dauphine/2005/stage-2,stage-2,dauphine,2005-06-07,50,187000,,933,2005,Summer,1508.7878787878788,28.703030303030303
dauphine/2005/stage-3,stage-3,dauphine,2005-06-08,50,46500,,933,2005,Summer,1508.7878787878788,28.703030303030303
dauphine/2005/stage-4,stage-4,dauphine,2005-06-09,50,182000,,933,2005,Summer,1508.7878787878788,28.703030303030303
dauphine/2005/stage-5,stage-5,dauphine,2005-06-10,50,219000,,933,2005,Summer,1508.7878787878788,28.703030303030303
dauphine/2005/stage-6,stage-6,dauphine,2005-06-11,50,155000,,933,2005,Summer,1508.7878787878788,28.703030303030303
dauphine/2005/stage-7,stage-7,dauphine,2005-06-12,30,128000,,933,2005,Summer,1508.7878787878788,28.703030303030303
dauphine/2006/prologue,prologue,dauphine,2006-06-04,18,4100,,800,2006,Summer,1508.7878787878788,28.703030303030303
dauphine/2006/stage-1,stage-1,dauphine,2006-06-05,50,207000,,800,2006,Summer,1508.7878787878788,28.703030303030303
dauphine/2006/stage-2,stage-2,dauphine,2006-06-06,50,203000,,800,2006,Summer,1508.7878787878788,28.703030303030303
dauphine/2006/stage-3,stage-3,dauphine,2006-06-07,30,43000,,800,2006,Summer,1508.7878787878788,28.703030303030303
dauphine/2006/stage-4,stage-4,dauphine,2006-06-08,50,186000,,800,2006,Summer,1508.7878787878788,28.703030303030303
dauphine/2006/stage-5,stage-5,dauphine,2006-06-09,50,155000,,800,2006,Summer,1508.7878787878788,28.703030303030303
dauphine/2006/stage-6,stage-6,dauphine,2006-06-10,50,169000,,800,2006,Summer,1508.7878787878788,28.703030303030303
dauphine/2006/stage-7,stage-7,dauphine,2006-06-11,50,131000,,800,2006,Summer,1508.7878787878788,28.703030303030303
dauphine/2007/prologue,prologue,dauphine,2007-06-10,50,4200,,816,2007,Summer,1508.7878787878788,28.703030303030303
dauphine/2007/stage-1,stage-1,dauphine,2007-06-11,50,219000,,816,2007,Summer,1508.7878787878788,28.703030303030303
