_url,stage,race,date,points,length,climb_total,profile,startlist_quality,year
dauphine/2010/stage-4,stage-4,dauphine,2010-06-09,50,49000,,,673,2010
dauphine/2010/stage-5,stage-5,dauphine,2010-06-10,50,210500,,5,673,2010
dauphine/2010/stage-6,stage-6,dauphine,2010-06-11,50,143500,,,673,2010
dauphine/2010/stage-7,stage-7,dauphine,2010-06-12,50,151500,,5,673,2010
dauphine/2010/stage-8,stage-8,dauphine,2010-06-13,50,148000,,,673,2010
dauphine/2011/prologue,prologue,dauphine,2011-06-05,50,5400,58,1,958,2011
dauphine/2011/stage-1,stage-1,dauphine,2011-06-06,50,144000,2189,2,958,2011
dauphine/2011/stage-2,stage-2,dauphine,2011-06-07,50,179000,1479,3,958,2011
dauphine/2011/stage-3,stage-3,dauphine,2011-06-08,50,42500,732,1,958,2011
dauphine/2011/stage-4,stage-4,dauphine,2011-06-09,50,173500,1647,1,958,2011
dauphine/2011/stage-5,stage-5,dauphine,2011-06-10,50,210000,3282,5,958,2011
dauphine/2011/stage-6,stage-6,dauphine,2011-06-11,50,192500,4407,5,958,2011
dauphine/2011/stage-7,stage-7,dauphine,2011-06-12,50,117500,3217,5,958,2011
dauphine/2012/prologue,prologue,dauphine,2012-06-03,50,5700,11,1,1117,2012
dauphine/2012/stage-1,stage-1,dauphine,2012-06-04,50,187000,2048,2,1117,2012
dauphine/2012/stage-2,stage-2,dauphine,2012-06-05,50,160000,3002,3,1117,2012
dauphine/2012/stage-3,stage-3,dauphine,2012-06-06,50,167000,2683,5,1117,2012
dauphine/2012/stage-4,stage-4,dauphine,2012-06-07,50,53500,399,1,1117,2012
dauphine/2012/stage-5,stage-5,dauphine,2012-06-08,50,186500,3216,5,1117,2012
dauphine/2012/stage-6,stage-6,dauphine,2012-06-09,50,167500,4158,5,1117,2012
dauphine/2012/stage-7,stage-7,dauphine,2012-06-10,50,124500,2375,5,1117,2012
dauphine/2013/stage-1,stage-1,dauphine,2013-06-02,50,121000,2582,2,985,2013
dauphine/2013/stage-2,stage-2,dauphine,2013-06-03,50,183000,2533,2,985,2013
dauphine/2013/stage-3,stage-3,dauphine,2013-06-04,50,167000,1525,2,985,2013
dauphine/2013/stage-4,stage-4,dauphine,2013-06-05,50,32500,152,1,985,2013
dauphine/2013/stage-5,stage-5,dauphine,2013-06-06,50,139000,2447,5,985,2013
dauphine/2013/stage-6,stage-6,dauphine,2013-06-07,50,143000,2207,4,985,2013
dauphine/2013/stage-7,stage-7,dauphine,2013-06-08,50,184000,4693,5,985,2013
dauphine/2013/stage-8,stage-8,dauphine,2013-06-09,50,152000,3449,5,985,2013
dauphine/2014/stage-1,stage-1,dauphine,2014-06-08,50,10400,84,1,941,2014
dauphine/2014/stage-2,stage-2,dauphine,2014-06-09,50,156000,3091,5,941,2014
