_url,name,birth_year,height,nationality,avg_pos,num_races,BMI,continent
laurent-chotard,Laurent  Chotard,1976.0,,France,101.67091836734694,392,,Europe
frederic-garnier,Frédéric  Garnier,1964.0,,France,137.84466019417476,103,,Europe
isaac-canton,Isaac  Cantón,1996.0,180.0,Spain,91.40134529147981,446,20.061728395061728,Europe
alain-vasseur,Alain  Vasseur,1948.0,175.0,France,103.11688311688312,308,21.877551020408163,Europe
jean-pierre-monsere,Jean-Pierre  Monseré,1948.0,178.0,Belgium,95.04676258992805,278,20.830703194041156,Europe
steven-caethoven,Steven  Caethoven,1981.0,176.0,Belgium,86.74893617021277,235,21.62964876033058,Europe
jose-maria-jimenez,José María  Jiménez,1971.0,187.0,Spain,110.84210526315789,76,20.0177299894192,Europe
mattia-cattaneo,Mattia  Cattaneo,1990.0,184.0,Italy,80.76294277929155,367,19.78969754253308,Europe
james-knox,James  Knox,1995.0,173.0,Great Britain,80.16616314199396,331,19.37919743392696,Europe
geert-malfait,Geert  Malfait,1953.0,,Belgium,77.66225165562913,302,,Europe
david-gaudu,David  Gaudu,1996.0,172.0,France,99.40625,64,17.915089237425637,Europe
michele-laddomada,Michele  Laddomada,1972.0,,Italy,86.91460055096418,363,,Europe
bjarne-riis,Bjarne  Riis,1964.0,184.0,Denmark,64.31566820276498,434,20.97117202268431,Europe
jose-alberto-benitez-roman,José Alberto  Benítez,1981.0,180.0,Spain,88.3019801980198,202,20.37037037037037,Europe
patrick-busolini2,Patrick  Busolini,1954.0,,France,113.43636363636364,220,,Europe
roberto-sgambelluri,Roberto  Sgambelluri,1974.0,175.0,Italy,54.36293436293436,518,20.571428571428573,Europe
benno-wiss,Benno  Wiss,1962.0,,Switzerland,114.1360544217687,147,,Europe
michal-hrazdira,Michal  Hrazdira,1977.0,189.0,Czech Republic,114.18904109589042,365,21.55594748187341,Europe
robert-hunter,Robert  Hunter,1977.0,178.0,South Africa,117.95970695970696,273,22.724403484408533,Africa
raffaello-bonusi,Raffaello  Bonusi,1992.0,,Italy,127.62290502793296,358,,Europe
